reservation_id,unit_id,unit_type,date,head_count,host_user,option1,option2,prop_id,reserve_code,slot_length,slot_minutes,special_req,status,time,time_slots,user_id
49,46,type3,2024-04-26,76,216709,,,28,1,20,30,None,Cancelled,11:00:00,1,4324
50,53,type1,2024-04-07,124,721262,,,57,2,20,60,Confirmed,Booked,03:00:00,1,5807
51,58,type2,2024-04-03,148,876920,,,18,1,20,90,None,Pending,15:00:00,1,8056
52,29,type1,2024-04-08,45,267153,,,93,3,20,60,Confirmed,Pending,16:00:00,3,7738
53,51,type2,2024-04-10,49,913378,,,27,4,15,60,None,Booked,21:00:00,2,3734
54,19,type1,2024-04-07,42,766852,,,6,3,20,90,Confirmed,Pending,19:00:00,2,3101
55,27,type2,2024-05-01,72,364401,,,16,4,15,90,Confirmed,Booked,12:00:00,1,6859
56,77,type3,2024-04-11,94,217218,,,39,1,20,60,Confirmed,Cancelled,10:00:00,2,5964
57,17,type2,2024-04-30,23,677895,,,47,1,15,30,Pending,Cancelled,05:00:00,2,6457
58,91,type2,2024-04-20,143,814424,,,69,2,10,90,Confirmed,Booked,09:00:00,2,6571
59,64,type3,2024-04-06,123,391123,,,11,4,20,90,Booked,Cancelled,03:00:00,3,6587
60,46,type1,2024-04-04,72,804203,,,22,2,10,60,Booked,Pending,05:00:00,1,1261
61,77,type1,2024-04-06,4,228561,,,66,3,15,30,None,Pending,22:00:00,2,2837
62,20,type2,2024-04-01,25,332980,,,44,2,10,90,None,Cancelled,11:00:00,3,8829
63,70,type2,2024-04-07,2,821752,,,93,1,10,60,Pending,Pending,21:00:00,2,2095
64,80,type1,2024-04-15,140,954525,,,25,4,15,90,None,Pending,18:00:00,3,4947
65,36,type2,2024-04-03,130,815938,,,39,3,10,90,None,Pending,06:00:00,3,2576
66,4,type3,2024-04-09,47,293947,,,65,3,15,30,None,Booked,03:00:00,3,7460
67,61,type1,2024-04-19,145,521052,,,34,4,20,30,Confirmed,Pending,19:00:00,1,2590
68,71,type3,2024-04-10,105,292414,,,98,3,20,30,Booked,Pending,02:00:00,2,9781
69,25,type1,2024-05-01,88,231811,,,60,1,20,30,Booked,Booked,14:00:00,2,1455
70,5,type3,2024-04-15,80,301514,,,72,1,10,90,Booked,Cancelled,14:00:00,2,9388
71,27,type3,2024-04-25,90,257712,,,56,1,15,60,None,Cancelled,09:00:00,3,6707
72,92,type1,2024-04-02,96,842264,,,18,1,20,30,Booked,Booked,23:00:00,3,1670
73,8,type2,2024-04-14,60,270427,,,61,1,10,90,Confirmed,Pending,08:00:00,2,8203
74,8,type1,2024-04-15,75,354712,,,43,4,10,60,Booked,Booked,20:00:00,3,3667
75,94,type3,2024-04-27,30,324501,,,90,2,20,60,Pending,Pending,02:00:00,3,2341
76,83,type3,2024-04-18,6,810323,,,91,4,15,60,Confirmed,Booked,23:00:00,1,3105
77,33,type3,2024-04-22,128,537960,,,84,1,10,30,None,Booked,13:00:00,3,6534
78,69,type2,2024-04-27,104,245758,,,70,3,20,60,None,Pending,22:00:00,2,2269
79,45,type1,2024-04-27,4,378572,,,47,4,15,60,Pending,Pending,04:00:00,3,5278
80,45,type2,2024-04-08,92,491568,,,60,2,20,90,Booked,Cancelled,10:00:00,1,6734
81,61,type3,2024-04-01,110,822519,,,28,3,10,30,Confirmed,Pending,02:00:00,3,9149
82,25,type2,2024-04-12,44,871665,,,25,3,15,60,Booked,Pending,06:00:00,3,6606
83,83,type3,2024-04-10,137,188717,,,49,1,20,30,Pending,Pending,01:00:00,3,4023
84,83,type2,2024-04-27,123,349722,,,16,2,15,60,None,Booked,17:00:00,2,9187
85,95,type3,2024-04-07,87,359402,,,1,4,10,60,Booked,Pending,06:00:00,1,8412
86,44,type1,2024-04-07,22,307300,,,82,2,10,30,Confirmed,Cancelled,10:00:00,2,8832
87,8,type2,2024-04-12,69,291347,,,75,4,10,30,None,Booked,20:00:00,3,6024
88,63,type2,2024-04-27,29,362169,,,65,1,10,30,Pending,Pending,08:00:00,1,8185
89,49,type3,2024-04-14,100,806819,,,65,3,10,30,Booked,Booked,04:00:00,1,1448
90,62,type1,2024-04-20,38,158605,,,97,2,10,90,Booked,Pending,09:00:00,3,8241
91,71,type1,2024-04-24,38,574199,,,99,4,20,60,Pending,Booked,16:00:00,2,8573
92,79,type1,2024-04-04,98,833375,,,56,1,20,30,Pending,Booked,13:00:00,1,8799
93,97,type3,2024-04-11,54,715373,,,43,2,10,90,Pending,Cancelled,15:00:00,3,5612
94,53,type3,2024-04-12,106,923155,,,98,3,10,90,Pending,Cancelled,00:00:00,1,6011
95,17,type2,2024-04-02,56,980220,,,43,4,20,90,None,Pending,18:00:00,1,6936
96,90,type1,2024-04-19,93,793583,,,86,2,10,30,Confirmed,Pending,18:00:00,1,6831
97,93,type2,2024-04-20,10,257967,,,16,4,20,60,Confirmed,Booked,15:00:00,3,2152
98,51,type1,2024-04-19,2,996344,,,69,1,20,30,Confirmed,Pending,13:00:00,2,3158
99,59,type2,2024-04-08,63,404932,,,68,3,20,60,Pending,Cancelled,22:00:00,3,1520
100,82,type3,2024-04-03,99,798580,,,71,4,15,90,Booked,Cancelled,05:00:00,1,9816
