reservation_id,unit_id,unit_type,date,head_count,host_user,option1,option2,prop_id,reserve_code,slot_length,slot_minutes,special_req,status,time,time_slots,user_id
56,16,type3,2023-08-14,19,572340,,,9,3,20,30,Pending,Booked,11:00:00,2,4148
57,23,type2,2023-11-16,130,535791,,,27,2,10,60,Pending,Booked,13:00:00,3,3054
58,61,type4,2023-11-10,28,308763,,,99,3,10,60,Booked,Cancelled,18:00:00,2,7480
59,54,type1,2023-07-03,130,974689,,,98,2,10,30,Confirmed,Cancelled,20:00:00,3,2466
60,13,type4,2023-04-13,88,918776,,,81,4,20,60,None,Pending,16:00:00,2,2117
61,46,type3,2023-04-12,144,917367,,,83,4,15,90,Pending,Cancelled,14:00:00,1,9218
62,32,type2,2023-12-07,29,456821,,,58,1,15,30,None,Pending,13:00:00,3,6743
63,21,type4,2023-01-19,142,660677,,,80,1,15,60,None,Booked,12:00:00,2,1653
64,45,type4,2023-07-08,45,903398,,,6,3,15,60,Confirmed,Booked,17:00:00,3,6789
65,15,type3,2023-06-21,121,167409,,,35,1,20,90,None,Booked,09:00:00,3,2910
66,9,type3,2023-12-12,139,945223,,,71,3,15,90,None,Cancelled,20:00:00,3,3198
67,97,type1,2023-07-10,104,497073,,,43,1,20,30,Booked,Booked,18:00:00,2,3530
68,22,type2,2023-01-28,24,807556,,,2,4,20,90,Pending,Pending,17:00:00,1,5601
69,68,type4,2023-07-05,137,847709,,,72,3,15,60,Confirmed,Booked,17:00:00,2,6849
70,92,type3,2023-11-23,42,118379,,,11,2,20,60,Pending,Booked,08:00:00,1,1423
71,48,type4,2023-03-02,38,181361,,,38,2,20,60,Confirmed,Cancelled,15:00:00,1,7806
72,21,type3,2023-06-14,38,777668,,,58,4,10,90,None,Pending,15:00:00,2,7287
73,83,type1,2023-09-27,124,389328,,,93,1,10,90,Pending,Cancelled,10:00:00,1,3663
74,70,type1,2023-04-16,69,227326,,,34,3,20,30,Confirmed,Booked,10:00:00,2,4759
75,7,type4,2023-08-06,123,143496,,,69,1,15,60,None,Booked,14:00:00,3,1154
76,72,type1,2023-06-09,130,845858,,,99,2,10,30,Pending,Booked,14:00:00,2,1860
77,31,type2,2023-05-13,51,542294,,,61,3,20,30,None,Booked,10:00:00,1,8853
78,2,type2,2023-07-11,97,534352,,,60,2,10,60,Booked,Pending,10:00:00,2,4362
79,89,type3,2023-11-14,55,716527,,,51,2,20,60,None,Booked,14:00:00,1,3220
80,51,type3,2023-11-21,17,783182,,,54,1,15,30,Confirmed,Pending,09:00:00,2,9572
81,23,type4,2023-09-30,61,986539,,,68,3,15,60,Booked,Booked,11:00:00,2,7068
82,27,type3,2023-08-23,17,620489,,,50,4,10,30,Booked,Cancelled,18:00:00,1,7425
83,95,type2,2023-01-29,146,625530,,,45,1,10,90,Pending,Booked,16:00:00,3,1835
84,3,type2,2023-08-25,23,110437,,,7,3,10,60,Pending,Pending,11:00:00,2,9527
85,54,type1,2023-07-23,112,760003,,,35,4,15,30,Booked,Booked,11:00:00,1,8049
86,76,type4,2023-04-12,107,724807,,,69,1,10,30,Booked,Pending,18:00:00,3,4459
87,22,type1,2023-09-12,75,938969,,,68,2,20,90,Confirmed,Booked,14:00:00,1,5099
88,12,type3,2023-09-21,90,411418,,,79,4,10,90,Booked,Cancelled,10:00:00,1,1769
89,39,type3,2023-07-29,116,387996,,,10,1,15,30,None,Cancelled,18:00:00,3,9773
90,90,type2,2023-12-08,6,498733,,,47,1,15,90,None,Booked,11:00:00,3,3357
91,27,type2,2023-04-26,37,718660,,,27,1,10,90,Pending,Cancelled,09:00:00,2,1579
92,34,type3,2023-06-22,30,272133,,,77,4,20,30,Pending,Cancelled,16:00:00,1,4004
93,44,type2,2023-06-28,6,847762,,,24,1,15,90,Confirmed,Booked,21:00:00,3,2648
94,73,type2,2023-02-03,149,364633,,,68,1,20,90,Confirmed,Pending,18:00:00,3,6706
95,3,type1,2023-11-09,141,390457,,,18,2,15,60,Confirmed,Booked,11:00:00,1,4073
96,50,type2,2023-09-03,141,136842,,,55,4,15,60,Booked,Cancelled,17:00:00,2,3117
97,3,type3,2023-02-07,8,575506,,,38,3,15,60,Booked,Cancelled,15:00:00,3,1402
98,84,type2,2023-09-02,116,171571,,,7,1,20,30,Confirmed,Pending,09:00:00,2,5024
99,72,type3,2023-08-13,114,350079,,,68,3,15,90,Confirmed,Booked,11:00:00,3,7200
100,78,type4,2023-10-30,118,185748,,,56,4,15,30,Pending,Booked,12:00:00,1,9084
